id,name,city,rentals_tags
128337,POZ Wodna 24/8,Poznań,Poznań
128338,POZ SRNT 406,Poznań,Poznań;Serenity
128339,POZ Orzesz 6/A,Poznań,Poznań
128340,POZ Orzesz 6/G,Poznań,Poznań
128341,POZ SRNT 508 ,Poznań,Poznań;Serenity
128342,POZ SRNT 208 ,Poznań,Poznań;Serenity
128343,POZ Orzesz 6/E ,Poznań,Poznań
128344,POZ SRNT 210 ,Poznań,Poznań;Serenity
128345,POZ SRNT 409 ,Poznań,Poznań;Serenity
128346,POZ SRNT 205,Poznań,Poznań;Serenity
128347,WAW Krochmalna 2/509,Warszawa,Warszawa;Long Term;Mid Term
128422,WAW Wspólna 50a/34,Warszawa,Warszawa;Warszawa Centrum
128423,WAW Kolska 9A/63,Warszawa,Warszawa
128424,WAW Solec 79/99,Warszawa,Warszawa
128425,WAW Nowolipki 15/28,Warszawa,Warszawa;Muranów-Jewish Quarter
128426,WAW Smocza 26/116,Warszawa,Warszawa;Muranów-Jewish Quarter
128427,ZAK Cyrhla A1,Zakopane,Zakopane
128430,WAW Al. Wyz 14A/145,Warszawa,Warszawa
128432,WAW Wilcza 58/13,Warszawa,Warszawa;Warszawa Centrum
128433,WAW Wronia 45/251,Warszawa,Warszawa;Oxygen Wronia 45
128435,ZAK Jaszcz Sarna,Zakopane,Zakopane
128436,WAW Magazyn 9A/223,Warsaw,Warszawa
128439,ZAK Orkana 2,Zakopane,Zakopane
128440,WAW Złota 6/21,Warszawa,Warszawa;Warszawa Centrum
128441,WAW Grójec19/25/20,Warszawa,Warszawa
128442,WAW Pawia 51/66,Warszawa,Warszawa;Muranów-Jewish Quarter
128443,WAW Grójec 115/10,Warszawa,Warszawa
128444,ZAK Gimnazjalna II,Zakopane,Zakopane
128445,WAW Hoża 39/90,Warszawa,Warszawa;Warszawa Centrum
128446,WAW Daniło 9/53,Warszawa,Warszawa
128448,WAW Świętokrzy 32/93,Warszawa,Warszawa;Warszawa Centrum
128450,WAW Krucza 46/120,Warszawa,Warszawa;Warszawa Centrum
128451,ZAK Dom Hrube 5H 1,Zakopane,Zakopane
128452,WAW Grzybo 30/ 1513,Warszawa,Warszawa
128453,WAW Grzybo 30/1418,Warszawa,Warszawa;Warszawa Centrum
128455,WAW Piaskowa 6/68,Warszawa,Warszawa
128456,ZAK Zoniówka PREMIUM,Zakopane,Domy;Zakopane
128457,ZAK Szymosz. B16,Zakopane,Zakopane;Szymaszkowa
128458,ZAK Nędzy Kubińca,Kościelisko,Zakopane;Kościelisko
128459,WAW Pawia 36/35B,Warszawa,Warszawa;Muranów-Jewish Quarter
128462,WAW Elektor 12A/138,Warszawa,Warszawa
128463,POZ SRNT 401 ,Poznań,Poznań;Serenity
128464,WAW Marsz 138/103,Warszawa,Warszawa;Warszawa Centrum
128465,WAW Górskiego 3/121,Warszawa,Warszawa
128467,WAW Chmiel 27/31/58,Warszawa,Warszawa;Warszawa Centrum
128468,WAW Al. Wyz 10/54,Warszawa,Warszawa
128469,WAW Al. Wyz 7/212,Warszawa,Warszawa
128470,WAW Siedmiogro 7/22,Warszawa,Warszawa
128471,WAW Pańska 5/125,Warszawa,Warszawa
128473,WAW Nowin 8/29,Warszawa,Warszawa;Starówka Warszawa
128474,WAW Karolko 28A/97,Warszawa,Warszawa
128478,POZ SRNT 311,Poznań,Poznań;Serenity
128479,WAW Grzybo 85a/14B,Warszawa,Warszawa
128480,ZAK Chramcówki,Zakopane,Zakopane
128482,WAW Salezego 6/76,Warszawa,Warszawa
128483,WAW Al. Jer 29/19,Warszawa,Warszawa;Warszawa Centrum
128484,WAW Bugaj 14/48,Warszawa,Warszawa;Starówka Warszawa
128486,POZ Orzesz 6/C ,Poznań,Poznań
128487,POZ Orzesz 6/B ,Poznań,Poznań
128488,POZ SRNT 502 ,Poznań,Poznań;Serenity
128490,WAW E. Plater 25/32,Warszawa,Warszawa;Warszawa Centrum
128492,ZAK Bulwary IV,Zakopane,Zakopane
128494,WAW Okopowa 29b/9,Warszawa,Warszawa
128495,WRO Pl. Kościuszki 5/15,Wrocław,Wrocław
128496,WAW Wronia 45/266,Warszawa,Warszawa;Oxygen Wronia 45
128498,WAW Burako 16a/66,Warszawa,Warszawa
128499,ZAK Oberconiówka II,Zakopane,Zakopane
128500,WAW Łucka 18/173,Warszawa,Warszawa
128501,POZ SRNT 303,Poznań,Poznań;Serenity
128503,WAW Złota 65/19,Warszawa,Warszawa;Warszawa Centrum
128504,WAW Dzika 19/23/93,Warszawa,Warszawa
128505,POZ SRNT 301,Poznań,Poznań;Serenity
128506,POZ SRNT 403,Poznań,Poznań;Serenity
128507,WAW Al. 3 Maja 2/18,Warszawa,Warszawa
128508,WAW Smolna 8/9,Warszawa,Warszawa
128509,ZAK Kasprowicza I,Zakopane,Zakopane
128510,WAW Bonifrat 15/69,Warszawa,Warszawa
128511,WAW Burako 16A/10,Warszawa,Warszawa
128512,WAW Boduena 4/25,Warszawa,Warszawa
128513,WAW Noakow 16/25C,Warszawa,Warszawa
128514,WAW Burako 16a/50,Warszawa,Warszawa
128516,WAW Srebrna 6/99,Warszawa,Warszawa
128517,WAW Złota 11/110,Warszawa,Warszawa;Warszawa Centrum
128518,WAW Mokotow 51/53/59,Warszawa,Warszawa;Warszawa Centrum
128519,WAW Burako 16/250,Warszawa,Warszawa
128520,ZAK Za Strugiem 14a,Zakopane,Zakopane
128521,ZAK Witkiewi 1/6/1,Zakopane,Zakopane
128522,POZ SRNT 503,Poznań,Poznań;Serenity
128523,ZAK Tetmajera,Zakopane,Zakopane
128524,POZ SRNT 309 ,Poznań,Poznań;Serenity
128528,ZAK Dom Gładkie,Zakopane,Domy;Zakopane
128529,WAW E. Plater 47/72,Warszawa,Warszawa;Warszawa Centrum
128530,WAW Elektor 4/6/32,Warszawa,Warszawa;Warszawa Centrum
128532,WAW Wronia 45/135,Warszawa,Warszawa;Oxygen Wronia 45
128533,WAW Wronia 45/162,Warszawa,Warszawa;Oxygen Wronia 45
128534,WAW Wilcza 22A/13,Warszawa,Warszawa;Warszawa Centrum
128536,WAW Magazyn 9A/222,Warszawa,Warszawa
128537,WAW Senat 7/7,Warszawa,Warszawa;Starówka Warszawa
128538,GDA DP 412,Gdańsk,Deo Residence;Gdańsk
128539,POZ Orzesz 6/D,Poznań,Poznań
128540,WAW Krakow.Prz 12/17,Warszawa,Warszawa;Starówka Warszawa
128542,WRO Kotlarska 35/36/5C,Wrocław,Wrocław
128543,WAW Elektor 13A/33,Warszawa,Warszawa
128544,WAW Kazi 81/11,Warszawa,Warszawa
128545,ZAK Brzozowa 31,Zakopane,Zakopane
128547,POZ SRNT 209,Poznań,Poznań;Serenity
128548,ZAK Kasprowicza III,Zakopane,Zakopane
128549,WAW Al. Wyz 10/55,Warszawa,Warszawa
128551,POZ SRNT 405,Poznań,Poznań;Serenity
128552,WAW Piwna 17/19/2,Warszawa,Warszawa;Starówka Warszawa
128555,POZ SRNT 306,Poznań,Poznań;Serenity
128556,WAW Słomiń 5/68,Warszawa,Warszawa
128557,WAW Puławska 221/11,Warszawa,Warszawa;Mokotów
128558,POZ SRNT 202,Poznań,Poznań;Serenity
128561,WAW Magazyn 9A/221,Warsaw,Warszawa;Mokotów
128562,POZ Orzesz 6/F,Poznań,Poznań
128563,WAW Al. Wyz 14A/133,Warszawa,Warszawa
128564,WAW Koper 4/1,Warszawa,Warszawa
128565,WAW Dobra 8/10/67,Warszawa,Warszawa
128566,WAW Wronia 45/224,Warszawa,Warszawa;Oxygen Wronia 45
128567,POZ SRNT 304,Poznań,Poznań;Serenity
