id;roomID;BSYNC ID;city;adress;startDate;endDate;channel;price;persons;Email;Nazwisko;Telefon;Uwagi;bookingID
8990_1205;8990_3;129385;Międzyzdroje;Gryfa Pomorskiego 79C/53;11.10.2020 00:00;23.10.2020 00:00;Manual;0;4;;;;;14432796
8990_1206;8990_3;129385;Międzyzdroje;Gryfa Pomorskiego 79C/53;25.12.2020 00:00;03.01.2021 00:00;Manual;0;4;;;;;14432797
8990_1237;8990_13;;Międzyzdroje;Gryfa Pomorskiego 77A/8;28.09.2019 00:00;05.01.2021 00:00;Manual;0;0;;;;;
8990_1247;8990_45;132398;Międzyzdroje;Bohaterów Warszawy 1/55;13.09.2020 00:00;23.09.2020 00:00;Manual;0;2;;;;;14432798
8990_1278;8990_25;;Międzyzdroje;Gryfa Pomorskiego 25A/23;26.05.2021 00:00;28.05.2021 00:00;Manual;0;4;;;;;
8990_1281;8990_53;;Międzyzdroje;1000-lecia Państwa Polskiego 8/209;26.05.2021 00:00;28.05.2021 00:00;Manual;0;4;;;;;
8990_1282;8990_21;129357;Międzyzdroje;1000-lecia Państwa Polskiego 8/202;26.05.2021 00:00;28.05.2021 00:00;Manual;0;2;;;;;14432799
8990_1286;8990_17;129381;Międzyzdroje;Książąt Pomorskich 3/2;26.05.2021 00:00;28.05.2021 00:00;Manual;0;4;;;;;14432800
8990_1287;8990_33;129347;Międzyzdroje;Książąt Pomorskich 3/3;26.05.2021 00:00;28.05.2021 00:00;Manual;1140;4;;;;;14432801
8990_1288;8990_47;129360;Międzyzdroje;Książąt Pomorskich 3/1;26.05.2021 00:00;28.05.2021 00:00;Manual;1140;4;;;;;14432802
8990_1289;8990_50;129348;Międzyzdroje;1000-lecia Państwa Polskiego 8/415;26.05.2021 00:00;28.05.2021 00:00;Manual;1200;4;;;;;14432803
8990_1290;8990_28;129349;Międzyzdroje;Gryfa Pomorskiego 77B/5;26.05.2021 00:00;28.05.2021 00:00;Manual;1200;4;;;;;14432804
8990_1292;8990_8;129374;Międzyzdroje;Zwycięstwa 46/5;26.05.2021 00:00;28.05.2021 00:00;Manual;1200;6;;;;;14432805
8990_1293;8990_26;;Międzyzdroje;Plac Neptuna 6/9;26.05.2021 00:00;28.05.2021 00:00;Manual;1200;6;;;;;
8990_1294;8990_23;129371;Międzyzdroje;Gryfa Pomorskiego 77C/20;26.05.2021 00:00;28.05.2021 00:00;Manual;1500;4;;;;;14432806
8990_1295;8990_46;129353;Międzyzdroje;Gryfa Pomorskiego 77d/28;26.05.2021 00:00;28.05.2021 00:00;Manual;1200;5;;;;;14432807
8990_1422;8990_6;129386;Międzyzdroje;Gryfa Pomorskiego 79D/52;12.09.2020 00:00;09.10.2020 00:00;Manual;0;4;;;;;14432808
8990_1423;8990_6;129386;Międzyzdroje;Gryfa Pomorskiego 79D/52;12.12.2020 00:00;08.01.2021 00:00;Manual;0;4;;;;;14432809
8990_1513;8990_52;129362;Międzyzdroje;Promenada Gwiazd 28/106;26.05.2021 00:00;28.05.2021 00:00;Manual;1200;4;;;;;14432810
8990_1563;8990_41;129375;Międzyzdroje;Gryfa Pomorskiego 79F/44;05.09.2020 00:00;11.09.2020 00:00;Manual;0;2;;;;;14432811
8990_1687;8990_2;129373;Międzyzdroje;Gryfa Pomorskiego 79C/51;10.10.2020 00:00;17.10.2020 00:00;Manual;0;2;;;;;14432812
8990_1698;8990_45;132398;Międzyzdroje;Bohaterów Warszawy 1/55;29.05.2021 00:00;01.06.2021 00:00;Manual;1680;2;;;;;14432813
8990_1714;8990_39;129369;Międzyzdroje;Słoneczna 6 72-500 Lubin;01.09.2020 00:00;12.09.2020 00:00;Profitroom;5675;3;;;;;14432814
8990_1725;8990_1;129364;Międzyzdroje;Bohaterów Warszawy 1/53;17.06.2021 00:00;27.06.2021 00:00;Manual;6647.85;2;;;;;14432815
8990_1817;8990_45;132398;Międzyzdroje;Bohaterów Warszawy 1/55;04.12.2020 00:00;07.12.2020 00:00;Other;2640;5;;;;;14432816
8990_1896;8990_45;132398;Międzyzdroje;Bohaterów Warszawy 1/55;29.08.2020 00:00;04.09.2020 00:00;Manual;3400;2;;;;;14432817
8990_1935;8990_18;129361;Międzyzdroje;Książąt Pomorskich 20/21;31.08.2020 00:00;07.09.2020 00:00;Manual;0;0;;;;;14432818
8990_1988;8990_1;129364;Międzyzdroje;Bohaterów Warszawy 1/53;15.08.2020 00:00;01.09.2020 00:00;Manual;0;4;;;;;14432819
8990_2038;8990_2;129373;Międzyzdroje;Gryfa Pomorskiego 79C/51;18.10.2020 00:00;24.10.2020 00:00;Manual;0;2;;;;;14432820
8990_2039;8990_27;129368;Międzyzdroje;Bohaterów Warszawy 1/34;19.09.2020 00:00;26.09.2020 00:00;Other;3840;2;;;;;14432821
8990_2085;8990_45;132398;Międzyzdroje;Bohaterów Warszawy 1/55;03.11.2020 00:00;29.11.2020 00:00;Manual;0;2;;;;;14432822
8990_2096;8990_45;132398;Międzyzdroje;Bohaterów Warszawy 1/55;20.12.2020 00:00;02.01.2021 00:00;Manual;0;2;;;;;14432823
8990_2099;8990_1;129364;Międzyzdroje;Bohaterów Warszawy 1/53;18.09.2020 00:00;23.09.2020 00:00;Other;3840;4;;;;;14432824
8990_2115;8990_27;129368;Międzyzdroje;Bohaterów Warszawy 1/34;31.08.2020 00:00;05.09.2020 00:00;Other;3120;2;;;;;14432825
8990_2216;8990_6;129386;Międzyzdroje;Gryfa Pomorskiego 79D/52;23.08.2020 00:00;02.09.2020 00:00;Other;12564;4;;;;;14432826
8990_2257;8990_3;129385;Międzyzdroje;Gryfa Pomorskiego 79C/53;09.09.2020 00:00;12.09.2020 00:00;Manual;0;4;;;;;14432827
8990_2258;8990_2;129373;Międzyzdroje;Gryfa Pomorskiego 79C/51;09.09.2020 00:00;12.09.2020 00:00;Manual;0;2;;;;;14432828
8990_2353;8990_27;129368;Międzyzdroje;Bohaterów Warszawy 1/34;06.09.2020 00:00;18.09.2020 00:00;Other;5200;2;;;;;14432829
8990_2398;8990_8;129374;Międzyzdroje;Zwycięstwa 46/5;01.07.2020 00:00;29.09.2020 00:00;Manual;0;1;;;;;14432830
8990_2422;8990_71;132480;Międzyzdroje;Promenada Gwiazd 14/44A;22.08.2020 00:00;29.09.2020 00:00;Manual;0;0;;;;;14432831
8990_2430;8990_46;129353;Międzyzdroje;Gryfa Pomorskiego 77d/28;01.09.2020 00:00;10.09.2020 00:00;Manual;0;2;;;;;14432832
8990_2488;8990_50;129348;Międzyzdroje;1000-lecia Państwa Polskiego 8/415;19.10.2020 00:00;23.10.2020 00:00;Manual;0;4;;;;;14432833
8990_2497;8990_50;129348;Międzyzdroje;1000-lecia Państwa Polskiego 8/415;25.09.2020 00:00;26.09.2020 00:00;Manual;0;4;;;;;14432834
8990_2498;8990_50;129348;Międzyzdroje;1000-lecia Państwa Polskiego 8/415;12.05.2021 00:00;15.05.2021 00:00;Manual;0;4;;;;;14432835
8990_2499;8990_50;129348;Międzyzdroje;1000-lecia Państwa Polskiego 8/415;24.06.2021 00:00;03.07.2021 00:00;Manual;0;4;;;;;14432836
8990_2526;8990_40;129352;Międzyzdroje;Gryfa Pomorskiego 25A/7;04.09.2020 00:00;06.09.2020 00:00;Manual;0;2;;;;;14432837
8990_2536;8990_66;132474;Międzyzdroje;Nowomyśliwska 3/125 D;04.09.2020 00:00;08.09.2020 00:00;Manual;0;0;;;;;14432838
